ID,time,y1,censored,split,color,filter
NHP34,0,2.67761,1,All,#4682B4,0
NHP34,1,5.317,0,All,#4682B4,0
NHP34,2,4.98976,0,All,#4682B4,0
NHP34,3,4.30523,0,All,#4682B4,0
NHP34,4,3.68241,0,All,#4682B4,0
NHP34,5,3.6152,0,All,#4682B4,0
NHP34,7,4.27602,0,All,#4682B4,0
NHP34,10,2.67761,1,All,#4682B4,0
NHP34,14,2.67761,1,All,#4682B4,0
NHP34,23,2.67761,1,All,#4682B4,0
NHP34,29,2.67761,1,All,#4682B4,0
NHP4,0,2.67761,1,All,#4682B4,0
NHP4,2,2.67761,1,All,#4682B4,0
NHP4,4,2.67761,1,All,#4682B4,0
NHP4,5,2.67761,1,All,#4682B4,0
NHP4,7,2.67761,1,All,#4682B4,0
NHP4,10,2.67761,1,All,#4682B4,0
NHP4,14,2.67761,1,All,#4682B4,0
NHP4,23,2.67761,1,All,#4682B4,0
NHP4,29,2.67761,1,All,#4682B4,0
NHP5,0,2.67761,1,All,#4682B4,0
NHP5,1,5.36443,0,All,#4682B4,0
NHP5,2,6.47786,0,All,#4682B4,0
NHP5,3,5.24643,0,All,#4682B4,0
